idx,ID,image_path,topic,sub_topic,type_of_question,prompt,prompt_used_for_generation,ground_truth,ground_truth_num,model_answer,pred_norm,gt_norm,pred_num,correct_exact,correct_numeric,generation_error
192,maserati_prompt1,original_images/images/maserati_gray_coupe_0.png,Logos,cars,Counting/Illusion,"How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
193,maserati_prompt4,original_images/images/maserati_gray_coupe_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Maserati,,{Maserati},maserati,maserati,,True,False,
194,maserati_prompt1,original_images/images/maserati_gray_sedan_0.png,Logos,cars,Counting/Illusion,"How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
195,maserati_prompt4,original_images/images/maserati_gray_sedan_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Maserati,,{Maserati},maserati,maserati,,True,False,
196,maserati_prompt1,original_images/images/maserati_gray_sports car_0.png,Logos,cars,Counting/Illusion,"How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
197,maserati_prompt4,original_images/images/maserati_gray_sports car_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Maserati,,{Maserati},maserati,maserati,,True,False,
198,maserati_prompt1,original_images/images/maserati_gray_suv_0.png,Logos,cars,Counting/Illusion,"How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
199,maserati_prompt4,original_images/images/maserati_gray_suv_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Maserati,,{Maserati},maserati,maserati,,True,False,
200,maserati_prompt1,original_images/images/maserati_white_convertible_0.png,Logos,cars,Counting/Illusion,"How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
201,maserati_prompt4,original_images/images/maserati_white_convertible_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Maserati,,{Maserati},maserati,maserati,,True,False,
202,maserati_prompt1,original_images/images/maserati_white_coupe_0.png,Logos,cars,Counting/Illusion,"How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
203,maserati_prompt4,original_images/images/maserati_white_coupe_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Maserati,,{Maserati},maserati,maserati,,True,False,
204,maserati_prompt1,original_images/images/maserati_white_sedan_0.png,Logos,cars,Counting/Illusion,"How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
205,maserati_prompt4,original_images/images/maserati_white_sedan_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Maserati,,{Maserati},maserati,maserati,,True,False,
206,maserati_prompt1,original_images/images/maserati_white_sports car_0.png,Logos,cars,Counting/Illusion,"How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
207,maserati_prompt4,original_images/images/maserati_white_sports car_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Maserati,,{Maserati},maserati,maserati,,True,False,
208,maserati_prompt1,original_images/images/maserati_white_suv_0.png,Logos,cars,Counting/Illusion,"How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
209,maserati_prompt4,original_images/images/maserati_white_suv_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Maserati,,{Maserati},maserati,maserati,,True,False,
210,mercedes_prompt1,original_images/images/mercedes-benz_black_convertible_0.png,Logos,cars,Counting/Illusion,"How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{5},5,3,5.0,False,False,
211,mercedes_prompt4,original_images/images/mercedes-benz_black_convertible_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Mercedes-benz,,{Mercedes-Benz},mercedes-benz,mercedes-benz,,True,False,
212,mercedes_prompt1,original_images/images/mercedes-benz_black_coupe_0.png,Logos,cars,Counting/Illusion,"How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
213,mercedes_prompt4,original_images/images/mercedes-benz_black_coupe_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Mercedes-benz,,{Mercedes-Benz},mercedes-benz,mercedes-benz,,True,False,
214,mercedes_prompt1,original_images/images/mercedes-benz_black_hatchback_0.png,Logos,cars,Counting/Illusion,"How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
215,mercedes_prompt4,original_images/images/mercedes-benz_black_hatchback_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Mercedes-benz,,{Mercedes-Benz},mercedes-benz,mercedes-benz,,True,False,
216,mercedes_prompt1,original_images/images/mercedes-benz_black_suv_0.png,Logos,cars,Counting/Illusion,"How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
217,mercedes_prompt4,original_images/images/mercedes-benz_black_suv_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Mercedes-benz,,{Mercedes-Benz},mercedes-benz,mercedes-benz,,True,False,
218,mercedes_prompt1,original_images/images/mercedes-benz_gray_convertible_0.png,Logos,cars,Counting/Illusion,"How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{5},5,3,5.0,False,False,
219,mercedes_prompt4,original_images/images/mercedes-benz_gray_convertible_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Mercedes-benz,,{Mercedes-Benz},mercedes-benz,mercedes-benz,,True,False,
220,mercedes_prompt1,original_images/images/mercedes-benz_gray_coupe_0.png,Logos,cars,Counting/Illusion,"How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{5},5,3,5.0,False,False,
221,mercedes_prompt4,original_images/images/mercedes-benz_gray_coupe_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Mercedes-benz,,{Mercedes-Benz},mercedes-benz,mercedes-benz,,True,False,
222,mercedes_prompt1,original_images/images/mercedes-benz_gray_hatchback_0.png,Logos,cars,Counting/Illusion,"How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{5},5,3,5.0,False,False,
223,mercedes_prompt4,original_images/images/mercedes-benz_gray_hatchback_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Mercedes-benz,,{Mercedes-Benz},mercedes-benz,mercedes-benz,,True,False,
224,mercedes_prompt1,original_images/images/mercedes-benz_gray_sedan_0.png,Logos,cars,Counting/Illusion,"How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{5},5,3,5.0,False,False,
225,mercedes_prompt4,original_images/images/mercedes-benz_gray_sedan_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Mercedes-benz,,{Mercedes-Benz},mercedes-benz,mercedes-benz,,True,False,
226,mercedes_prompt1,original_images/images/mercedes-benz_gray_suv_0.png,Logos,cars,Counting/Illusion,"How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{5},5,3,5.0,False,False,
227,mercedes_prompt4,original_images/images/mercedes-benz_gray_suv_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Mercedes-benz,,{Mercedes-Benz},mercedes-benz,mercedes-benz,,True,False,
228,mercedes_prompt1,original_images/images/mercedes-benz_white_convertible_0.png,Logos,cars,Counting/Illusion,"How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{5},5,3,5.0,False,False,
229,mercedes_prompt4,original_images/images/mercedes-benz_white_convertible_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Mercedes-benz,,{Mercedes-Benz},mercedes-benz,mercedes-benz,,True,False,
230,mercedes_prompt1,original_images/images/mercedes-benz_white_coupe_0.png,Logos,cars,Counting/Illusion,"How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{5},5,3,5.0,False,False,
231,mercedes_prompt4,original_images/images/mercedes-benz_white_coupe_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Mercedes-benz,,{Mercedes-Benz},mercedes-benz,mercedes-benz,,True,False,
232,mercedes_prompt1,original_images/images/mercedes-benz_white_hatchback_0.png,Logos,cars,Counting/Illusion,"How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{5},5,3,5.0,False,False,
233,mercedes_prompt4,original_images/images/mercedes-benz_white_hatchback_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Mercedes-benz,,{Mercedes-Benz},mercedes-benz,mercedes-benz,,True,False,
234,mercedes_prompt1,original_images/images/mercedes-benz_white_sedan_0.png,Logos,cars,Counting/Illusion,"How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{5},5,3,5.0,False,False,
235,mercedes_prompt4,original_images/images/mercedes-benz_white_sedan_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Mercedes-benz,,{Mercedes-Benz},mercedes-benz,mercedes-benz,,True,False,
236,mercedes_prompt1,original_images/images/mercedes-benz_white_suv_0.png,Logos,cars,Counting/Illusion,"How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{5},5,3,5.0,False,False,
237,mercedes_prompt4,original_images/images/mercedes-benz_white_suv_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Mercedes-benz,,{Mercedes-Benz},mercedes-benz,mercedes-benz,,True,False,
238,mercedes_prompt1,original_images/images/mercedes.png,Logos,cars,Counting/Illusion,"How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many points of the star are there on the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{5},5,3,5.0,False,False,
239,mercedes_prompt4,original_images/images/mercedes.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Mercedes-benz,,{Mercedes-Benz},mercedes-benz,mercedes-benz,,True,False,
240,moose_prompt1,original_images/images/moose.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
241,moose_prompt4,original_images/images/moose.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Moose,,{Moose},moose,moose,,True,False,
242,mountain_goat_prompt1,original_images/images/mountain goat.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
243,mountain_goat_prompt4,original_images/images/mountain goat.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Mountain goat,,{Mountain Goat},mountain goat,mountain goat,,True,False,
244,mule_prompt1,original_images/images/mule.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
245,mule_prompt4,original_images/images/mule.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Mule,,{Donkey},donkey,mule,,False,False,
246,ocelot_prompt1,original_images/images/ocelot.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
247,ocelot_prompt4,original_images/images/ocelot.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Ocelot,,{Ocelot},ocelot,ocelot,,True,False,
248,okapi_prompt1,original_images/images/okapi.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
249,okapi_prompt4,original_images/images/okapi.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Okapi,,{Okapi},okapi,okapi,,True,False,
250,ostrich_prompt1,original_images/images/ostrich.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
251,ostrich_prompt4,original_images/images/ostrich.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Ostrich,,{Ostrich},ostrich,ostrich,,True,False,
252,oystercatcher_prompt1,original_images/images/oystercatcher.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
253,oystercatcher_prompt4,original_images/images/oystercatcher.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Oystercatcher,,{Bird},bird,oystercatcher,,False,False,
254,peacock_prompt1,original_images/images/peacock.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
255,peacock_prompt4,original_images/images/peacock.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Peacock,,{Peacock},peacock,peacock,,True,False,
256,pig_prompt1,original_images/images/pig.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
257,pig_prompt4,original_images/images/pig.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Pig,,{Pig},pig,pig,,True,False,
258,plover_prompt1,original_images/images/plover.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
259,plover_prompt4,original_images/images/plover.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Plover,,{Bird},bird,plover,,False,False,
260,pronghorn_prompt1,original_images/images/pronghorn.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
261,pronghorn_prompt4,original_images/images/pronghorn.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Pronghorn,,{Pronghorn Antelope},pronghorn antelope,pronghorn,,False,False,
262,puma_prompt1,original_images/images/puma.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
263,puma_prompt4,original_images/images/puma.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Puma,,{Cougar},cougar,puma,,False,False,
264,rabbit_prompt1,original_images/images/rabbit.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
265,rabbit_prompt4,original_images/images/rabbit.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Rabbit,,{Rabbit},rabbit,rabbit,,True,False,
266,red_fox_prompt1,original_images/images/red fox.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
267,red_fox_prompt4,original_images/images/red fox.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Red fox,,{Fox},fox,red fox,,False,False,
268,red_wolf_prompt1,original_images/images/red wolf.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
269,red_wolf_prompt4,original_images/images/red wolf.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Red wolf,,{Wolf},wolf,red wolf,,False,False,
270,reindeer_prompt1,original_images/images/reindeer.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
271,reindeer_prompt4,original_images/images/reindeer.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Reindeer,,{Reindeer},reindeer,reindeer,,True,False,
272,rhea_prompt1,original_images/images/rhea.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
273,rhea_prompt4,original_images/images/rhea.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Rhea,,{Ostrich},ostrich,rhea,,False,False,
274,rooster_prompt1,original_images/images/rooster.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
275,rooster_prompt4,original_images/images/rooster.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Rooster,,{Rooster},rooster,rooster,,True,False,
276,sandpiper_prompt1,original_images/images/sandpiper.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
277,sandpiper_prompt4,original_images/images/sandpiper.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Sandpiper,,{Bird},bird,sandpiper,,False,False,
278,secretary_bird_prompt1,original_images/images/secretary bird.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
279,secretary_bird_prompt4,original_images/images/secretary bird.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Secretary bird,,{Bird},bird,secretary bird,,False,False,
280,serval_prompt1,original_images/images/serval.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
281,serval_prompt4,original_images/images/serval.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Serval,,{Serval},serval,serval,,True,False,
282,sheep_prompt1,original_images/images/sheep.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
283,sheep_prompt4,original_images/images/sheep.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Sheep,,{Sheep},sheep,sheep,,True,False,
284,spoonbill_prompt1,original_images/images/spoonbill.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
285,spoonbill_prompt4,original_images/images/spoonbill.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Spoonbill,,{Bird},bird,spoonbill,,False,False,
